match_id,data,squadra selezionata,squadra in casa,squadra fuori casa,quota,quota_1,quota_x,quota_2,SC
1387956,10/04/26,monaco,paris fc,monaco,1.90,3.65,3.75,1.90,
1387954,10/04/26,marseille,marseille,metz,1.23,1.23,5.70,12.50,
1391126,10/04/26,real madrid,real madrid,girona,1.25,1.25,5.75,10.75,
