match_id,profitto,ROI %,Successo %,PF,data,squadra selezionata,squadra in casa,squadra fuori casa,hs,as,vincitore,esito_pick,quota
1396455,0.94,,,,07/03/26,sporting cp,SC Braga,Sporting CP,2,2,pareggio,VINTAP,1.94
1394651,1.5,,,,07/03/26,galatasaray,Beşiktaş,Galatasaray,0,1,Galatasaray,VINTA,2.5
1381094,-1.0,,,,07/03/26,ajax,Groningen,Ajax,3,1,Groningen,PERSA,2.28
1436133,0.25,,,,07/03/26,al-nassr,Al-Nassr,NEOM,1,0,Al-Nassr,VINTA,1.25
1391079,0.67,,,,07/03/26,barcelona,Athletic Club,Barcelona,0,1,Barcelona,VINTA,1.67
1388526,1.32,,,,07/03/26,bayer leverkusen,SC Freiburg,Bayer Leverkusen,3,3,pareggio,VINTAP,2.32
1381098,0.32,,,,07/03/26,psv eindhoven,PSV Eindhoven,AZ Alkmaar,2,1,PSV Eindhoven,VINTA,1.32
1387922,1.18,,,,07/03/26,marseille,Toulouse,Marseille,0,1,Marseille,VINTA,2.18
1391080,0.66,,,,07/03/26,atletico madrid,Atletico Madrid,Real Sociedad,3,2,Atletico Madrid,VINTA,1.66
1436136,0.85,,,,06/03/26,al-ahli jeddah,Al-Ahli Jeddah,Al-Ittihad FC,3,1,Al-Ahli Jeddah,VINTA,1.85
1378143,0.55,,,,06/03/26,napoli,Napoli,Torino,2,1,Napoli,VINTA,1.55
1436135,0.08,,,,06/03/26,al-hilal saudi fc,Al-Hilal Saudi FC,Al Najma,4,0,Al-Hilal Saudi FC,VINTA,1.08
1387921,-1.0,,,,06/03/26,paris saint germain,Paris Saint Germain,Monaco,1,3,Monaco,PERSA,1.35
1391081,1.26,,,,06/03/26,real madrid,Celta Vigo,Real Madrid,1,2,Real Madrid,VINTA,2.26
1388524,0.21,,,,06/03/26,bayern munich,Bayern München,Borussia Mönchengladbach,4,1,Bayern München,VINTA,1.21
1379255,-1.0,,,,04/03/26,manchester city,Manchester City,Nottingham Forest,2,2,pareggio,PERSA,1.41
1379251,0.65,,,,04/03/26,arsenal,Brighton,Arsenal,0,1,Arsenal,VINTA,1.65
1388455,0.9,,,,04/03/26,bayer leverkusen,Hamburger SV,Bayer Leverkusen,0,1,Bayer Leverkusen,VINTA,1.9
1379249,1.44,,,,04/03/26,chelsea,Aston Villa,Chelsea,1,4,Chelsea,VINTA,2.44
1382810,0.53,,,,04/03/26,celtic,Aberdeen,Celtic,1,2,Celtic,VINTA,1.53
1379258,-1.0,,,,03/03/26,liverpool,Wolves,Liverpool,2,1,Wolves,PERSA,1.45
1396447,0.55,,,,02/03/26,benfica,GIL Vicente,Benfica,1,2,Benfica,VINTA,1.55
1391076,-1.0,,,,02/03/26,real madrid,Real Madrid,Getafe,0,1,Getafe,PERSA,1.33
1381091,-1.0,,,,01/03/26,ajax,PEC Zwolle,Ajax,0,0,pareggio,PERSA,1.71
1382839,1.14,,,,01/03/26,rangers,Rangers,Celtic,2,2,pareggio,VINTAP,2.14
1379239,0.49,,,,01/03/26,arsenal,Arsenal,Chelsea,2,1,Arsenal,VINTA,1.49
1384034,0.28,,,,01/03/26,dinamo zagreb,Dinamo Zagreb,HNK Gorica,4,2,Dinamo Zagreb,VINTA,1.28
1381089,-1.0,,,,01/03/26,feyenoord,Twente,Feyenoord,2,0,Twente,PERSA,2.98
1394640,-1.0,,,,01/03/26,fenerbahce,Antalyaspor,Fenerbahçe,2,2,pareggio,PERSA,1.51
1378129,1.58,,,,01/03/26,as roma,AS Roma,Juventus,3,3,pareggio,VINTAP,2.58
1387908,0.93,,,,01/03/26,marseille,Marseille,Lyon,3,2,Marseille,VINTA,1.93
