team_name,league_name,points,points_seconda,diff,matches,matches_seconda,diff_partite
arsenal,premier league,58,53,5,,,
manchester city,premier league,53,53,0,,,
bayern munich,bundesliga,57,51,6,,,
borussia dortmund,bundesliga,51,51,0,,,
inter,serie a,61,54,7,,,
paris saint germain,ligue 1,51,51,0,,,
psv eindhoven,eredivisie,59,45,14,,,
feyenoord,eredivisie,45,45,0,,,
rangers,scottish premiership,55,55,0,,,
galatasaray,super lig,55,52,3,,,
fenerbahce,super lig,52,52,0,,,
