team_id,team_name,league_id,league_name,season,rank,points,played,won,draw,lost,goals_for,goals_against,goal_diff,current_matchday
47,tottenham,39,premier league,2025,16,29,27,7,8,12,37,41,-4,28
65,nottingham forest,39,premier league,2025,17,27,27,7,6,14,25,39,-14,28
48,west ham,39,premier league,2025,18,25,27,6,7,14,32,49,-17,28
44,burnley,39,premier league,2025,19,19,27,4,7,16,29,52,-23,28
39,wolves,39,premier league,2025,20,10,28,1,7,20,18,51,-33,28
505,inter,135,serie a,2025,1,64,26,21,1,4,62,21,41,26
489,ac milan,135,serie a,2025,2,54,26,15,9,2,41,20,21,26
492,napoli,135,serie a,2025,3,50,26,15,5,6,39,27,12,26
497,as roma,135,serie a,2025,4,50,26,16,2,8,34,16,18,26
496,juventus,135,serie a,2025,5,46,26,13,7,6,43,25,18,26
895,como,135,serie a,2025,6,45,26,12,9,5,41,19,22,26
499,atalanta,135,serie a,2025,7,45,26,12,9,5,36,22,14,26
488,sassuolo,135,serie a,2025,8,35,26,10,5,11,32,35,-3,26
487,lazio,135,serie a,2025,9,34,26,8,10,8,26,25,1,26
500,bologna,135,serie a,2025,10,33,25,9,6,10,34,32,2,26
494,udinese,135,serie a,2025,11,32,25,9,5,11,28,38,-10,26
523,parma,135,serie a,2025,12,32,26,8,8,10,19,31,-12,26
490,cagliari,135,serie a,2025,13,29,26,7,8,11,28,35,-7,26
495,genoa,135,serie a,2025,14,27,26,6,9,11,32,37,-5,26
503,torino,135,serie a,2025,15,27,26,7,6,13,25,47,-22,26
520,cremonese,135,serie a,2025,16,24,26,5,9,12,21,36,-15,26
867,lecce,135,serie a,2025,17,24,26,6,6,14,17,33,-16,26
502,fiorentina,135,serie a,2025,18,21,25,4,9,12,29,39,-10,26
801,pisa,135,serie a,2025,19,15,25,1,12,12,20,42,-22,26
504,verona,135,serie a,2025,20,15,26,2,9,15,19,46,-27,26
197,psv eindhoven,88,eredivisie,2025,1,62,24,20,2,2,70,29,41,24
209,feyenoord,88,eredivisie,2025,2,48,24,15,3,6,55,33,22,24
